municipio,count(*),SUM(area_soma)
ALFREDO WAGNER,4,95
ANITÁPOLIS,2,22
ANTÔNIO CARLOS,3,3313
APIÚNA,2,57437
ASCURRA,1,519
BALNEÁRIO ARROIO DO SILVA,1,14
BALNEÁRIO CAMBORIÚ,3,23
BALNEÁRIO PIÇARRAS,1,74
BANDEIRANTE,1,17
BARRA VELHA,1,429
BELA VISTA DO TOLDO,1,317
BENEDITO NOVO,1,5067
BIGUAÇU,2,1377
BLUMENAU,3,62296
BOCAINA DO SUL,1,5255
BOM JARDIM DA SERRA,1,49672
BOM RETIRO,6,4257
BOMBINHAS,1,17105
BOTUVERÁ,2,56963
BRUSQUE,2,518
CAMPO ALEGRE,1,86
CAMPO BELO DO SUL,1,6342
CAMPOS NOVOS,1,1134
CAÇADOR,1,706
CHAPECÓ,1,1604
CONCÓRDIA,1,724
CORUPÁ,1,1156
CRICIÚMA,1,84
CURITIBANOS,1,10
DOUTOR PEDRINHO,1,5067
FLORIANÓPOLIS,20,279607
GALVÃO,1,626
GAROPABA,2,160199
GASPAR,1,56918
GOVERNADOR CELSO RAMOS,2,21541
GRÃO PARÁ,2,51002
GUABIRUBA,1,56918
GUARAMIRIM,2,3
GUARUJÁ DO SUL,1,4
GUATAMBÚ,1,1604
IBIRAMA,1,519
ILHOTA,1,546
IMARUÍ,1,83908
IMBITUBA,1,154859
INDAIAL,1,56918
ITAIÓPOLIS,10,949
ITAJAÍ,5,2064
ITAPEMA,1,2601
ITAPOÁ,4,2172
ITUPORANGA,1,3
IÇARA,1,154859
JAGUARUNA,1,154859
JARAGUÁ DO SUL,2,171
JOINVILLE,7,46460
LAGES,1,234
LAGUNA,1,154859
LAURENTINO,1,2
LEOBERTO LEAL,1,7
MAFRA,1,5
MORRO GRANDE,1,7853
NAVEGANTES,1,13
NOVA TRENTO,6,191
NOVA VENEZA,2,7856
ORLEANS,2,51002
PAIAL,1,6
PAINEL,1,5255
PALHOÇA,4,244108
PASSOS MAIA,1,12809
PAULO LOPES,6,244407
PONTE SERRADA,1,12809
PORTO BELO,4,41
PORTO UNIÃO,3,96
PRESIDENTE NEREU,1,56918
RANCHO QUEIMADO,1,5
RIO DO SUL,2,23
RIO DOS CEDROS,1,130
RIO NEGRINHO,4,22659
RIO RUFINO,1,5255
SANTA ROSA DE LIMA,1,9
SANTO AMARO DA IMPERATRIZ,2,84828
SCHROEDER,1,1616
SIDERÓPOLIS,1,7853
SÃO BENTO DO SUL,3,23951
SÃO BONIFÁCIO,1,83908
SÃO DOMINGOS,1,626
SÃO FRANCISCO DO SUL,3,13370
SÃO JOAQUIM,1,49
SÃO JOSÉ,1,26
SÃO MARTINHO,1,83908
SÃO PEDRO DE ALCÂNTARA,1,20
TIMBÓ,1,36
TREVISO,1,7853
TRÊS BARRAS,1,4385
TUBARÃO,1,154859
URUBICI,9,55557
URUPEMA,2,5291
VARGEM BONITA,1,285
VIDAL RAMOS,3,57447
VIDEIRA,1,16
VITOR MEIRELES,1,5016
ÁGUA DOCE,2,109
ÁGUAS MORNAS,2,83921
