Município,Estabelecimentos
Abdon Batista,181
Abelardo Luz,1693
Agrolândia,1571
Agronômica,655
Alfredo Wagner,1026
Alto Bela Vista,169
Anchieta,695
Angelina,439
Anita Garibaldi,666
Anitápolis,542
Antônio Carlos,1483
Apiúna,1213
Arabutã,418
Araquari,7180
Araranguá,10381
Armazém,1025
Arroio Trinta,571
Arvoredo,243
Ascurra,1400
Atalanta,364
Aurora,781
Balneário Arroio do Silva,1689
Balneário Barra do Sul,1612
Balneário Camboriú,37022
Balneário Gaivota,1967
Balneário Piçarras,4959
Balneário Rincão,1821
Bandeirante,228
Barra Bonita,118
Barra Velha,7159
Bela Vista do Toldo,288
Belmonte,225
Benedito Novo,1245
Biguaçu,14320
Blumenau,66266
Bocaina do Sul,222
Bom Jardim da Serra,384
Bom Jesus do Oeste,224
Bom Jesus,374
Bom Retiro,1057
Bombinhas,4767
Botuverá,626
Braço do Trombudo,450
Brunópolis,177
Brusque,22809
Caibi,806
Calmon,270
Camboriú,16301
Campo Alegre,1573
Campo Belo do Sul,579
Campo Erê,1302
Campos Novos,4180
Canelinha,1509
Canoinhas,6283
Capinzal,2297
Capivari de Baixo,2548
Capão Alto,175
Catanduvas,1546
Caxambu do Sul,361
Caçador,7827
Celso Ramos,254
Cerro Negro,147
Chapadão do Lageado,173
Chapecó,41249
Cocal do Sul,2042
Concórdia,10319
Cordilheira Alta,753
Coronel Freitas,1158
Coronel Martins,150
Correia Pinto,1466
Corupá,2062
Criciúma,32537
Cunha Porã,1633
Cunhataí,176
Curitibanos,4618
Descanso,874
Dionísio Cerqueira,2097
Dona Emma,476
Doutor Pedrinho,531
Entre Rios,146
Ermo,235
Erval Velho,526
Faxinal dos Guedes,1275
Flor do Sertão,147
Florianópolis,121928
Formosa do Sul,304
Forquilhinha,3280
Fraiburgo,3338
Frei Rogério,148
Galvão,348
Garopaba,5577
Garuva,2647
Gaspar,12150
Governador Celso Ramos,2175
Gravatal,1532
Grão Pará,709
Guabiruba,3427
Guaraciaba,1023
Guaramirim,6147
Guarujá do Sul,657
Guatambú,731
Herval d´Oeste,2135
Ibiam,181
Ibicaré,371
Ibirama,2472
Ilhota,2318
Imaruí,1016
Imbituba,8691
Imbuia,601
Indaial,11167
Iomerê,260
Ipira,493
Iporã do Oeste,1437
Ipuaçu,368
Ipumirim,597
Iraceminha,434
Irani,1199
Irati,167
Irineópolis,943
Itaiópolis,1928
Itajaí,54253
Itapema,18554
Itapiranga,2078
Itapoá,5204
Ituporanga,3374
Itá,928
Içara,8071
Jaborá,491
Jacinto Machado,1009
Jaguaruna,3046
Jaraguá do Sul,30069
Jardinópolis,200
Joaçaba,5233
Joinville,101692
José Boiteux,396
Jupiá,259
Lacerdópolis,269
Lages,20668
Laguna,4300
Lajeado Grande,149
Laurentino,1093
Lauro Muller,1348
Lebon Régis,782
Leoberto Leal,218
Lindóia do Sul,428
Lontras,1712
Luiz Alves,1731
Luzerna,891
Macieira,159
Mafra,6527
Major Gercino,331
Major Vieira,530
Maracajá,872
Maravilha,4324
Marema,176
Massaranduba,2307
Matos Costa,245
Meleiro,901
Mirim Doce,206
Modelo,582
Mondaí,1094
Monte Carlo,701
Monte Castelo,810
Morro Grande,233
Morro da Fumaça,2446
Navegantes,12967
Nova Erechim,709
Nova Itaberaba,426
Nova Trento,2008
Nova Veneza,1758
Novo Horizonte,194
Orleans,2818
Otacílio Costa,2047
Ouro Verde,138
Ouro,740
Paial,125
Painel,140
Palhoça,36556
Palma Sola,781
Palmeira,246
Palmitos,1807
Papanduva,1954
Paraíso,282
Passo de Torres,1632
Passos Maia,288
Paulo Lopes,1293
Pedras Grandes,381
Penha,6195
Peritiba,391
Pescaria Brava,721
Petrolândia,515
Pinhalzinho,3844
Pinheiro Preto,391
Piratuba,947
Planalto Alegre,328
Pomerode,5060
Ponte Alta do Norte,320
Ponte Alta,393
Ponte Serrada,1299
Porto Belo,5403
Porto União,3761
Pouso Redondo,2038
Praia Grande,1087
Presidente Castello Branco,178
Presidente Getúlio,2369
Presidente Nereu,185
Princesa,205
Quilombo,1217
Rancho Queimado,558
Rio Fortuna,618
Rio Negrinho,4768
Rio Rufino,176
Rio das Antas,495
Rio do Campo,688
Rio do Oeste,835
Rio do Sul,12651
Rio dos Cedros,1421
Riqueza,446
Rodeio,1883
Romelândia,308
Salete,1078
Saltinho,300
Salto Veloso,565
Sangão,1472
Santa Cecília,1750
Santa Helena,206
Santa Rosa de Lima,241
Santa Rosa do Sul,928
Santa Terezinha do Progresso,192
Santa Terezinha,544
Santiago do Sul,119
Santo Amaro da Imperatriz,3668
Saudades,1023
Schroeder,2885
Seara,2035
Serra Alta,389
Siderópolis,1435
Sombrio,4624
Sul Brasil,213
São Bento do Sul,11089
São Bernardino,211
São Bonifácio,275
São Carlos,1428
São Cristovão do Sul,512
São Domingos,1150
São Francisco do Sul,7739
São Joaquim,2518
São José do Cedro,1769
São José do Cerrito,563
São José,45627
São João Batista,4212
São João do Itaperiú,609
São João do Oeste,830
São João do Sul,825
São Lourenço do Oeste,3826
São Ludgero,1717
São Martinho,400
São Miguel da Boa Vista,106
São Miguel do Oeste,6842
São Pedro de Alcântara,565
Taió,2767
Tangará,828
Tigrinhos,163
Tijucas,7709
Timbé do Sul,470
Timbó Grande,542
Timbó,8063
Treviso,333
Treze Tílias,1431
Treze de Maio,902
Trombudo Central,954
Três Barras,1558
Tubarão,18720
Tunápolis,562
Turvo,1787
União do Oeste,255
Urubici,1828
Urupema,220
Urussanga,2061
Vargem Bonita,389
Vargem,193
Vargeão,380
Vidal Ramos,561
Videira,6964
Vitor Meireles,484
Witmarsum,488
Xanxerê,9354
Xavantina,317
Xaxim,4047
Zortéa,297
Água Doce,769
Águas Frias,305
Águas Mornas,916
Águas de Chapecó,490
